numWorkers,maxFitness,totalTime,distanceTime,initializationTimeRandom,initializationTimeEmpty,evolutionTime,crossoverTime,mutationTime,fitnessTime
1,5.42216e-07,59462800,32858,72397,24985,59277106,0,0,0
2,5.45365e-07,18422286,33591,144243,24836,18164474,0,0,0
4,5.44127e-07,10981283,45286,219527,31246,10610449,0,0,0
8,5.47796e-07,12285120,58294,395706,32570,11697958,0,0,0
16,5.4102e-07,10932459,58280,419884,37319,10302807,0,0,0
32,5.36978e-07,11957054,120389,443694,58168,11218567,0,0,0
64,5.4183e-07,12328374,109072,411304,71115,11612265,0,0,0
1,5.29196e-07,106873141,103989,177599,87721,106355428,0,0,0
2,5.45677e-07,24101410,93343,184452,84809,23590622,0,0,0
4,5.38937e-07,14733214,89520,453831,84102,13955984,0,0,0
8,5.26969e-07,7998007,98632,616271,83452,7041311,0,0,0
16,5.41491e-07,6105574,91234,641490,88048,5131532,0,0,0
32,5.39661e-07,5861287,99788,655197,100101,4839452,0,0,0
64,5.34972e-07,7366271,121522,694189,116955,6259910,0,0,0
