numWorkers,maxFitness,totalTime,distanceTime,initializationTimeRandom,initializationTimeEmpty,evolutionTime,crossoverTime,mutationTime,fitnessTime
1,5.32281e-07,38438368,21467,91895,6678,38251287,0,0,0
2,5.42322e-07,20299077,10913,118156,4039,20098941,0,0,0
4,5.30586e-07,15544731,5663,218005,2101,15250772,0,0,0
6,5.28041e-07,14305638,6294,362903,3243,13865420,0,0,0
8,5.43355e-07,10811001,5332,362054,2656,10372031,0,0,0
10,5.52997e-07,10461193,4966,363827,2275,10021206,0,0,0
12,5.48389e-07,9816946,8799,636510,2587,9092267,0,0,0
14,5.44219e-07,12006331,4531,516635,3217,11409629,0,0,0
16,5.33175e-07,13205295,5743,608072,4711,12514739,0,0,0
18,5.47202e-07,9943100,5691,576146,2072,9291650,0,0,0
20,5.4809e-07,7402652,5499,620573,3249,6698944,0,0,0
22,5.44818e-07,8510466,5156,633174,3106,7792634,0,0,0
24,5.55082e-07,7523407,5287,448394,2874,6998432,0,0,0
26,5.40243e-07,9005489,4983,622304,2794,8307858,0,0,0
28,5.39128e-07,8701312,4776,587224,2991,8038611,0,0,0
30,5.35214e-07,8336451,5649,645658,2734,7614502,0,0,0
32,5.49355e-07,9374626,5788,611726,2887,8684764,0,0,0
